"subject_ID","p_cor_sex","p_cor_lang","p_cor_age","time_mins","fin_consent_mins","consent_to_fin_mins","max_RT_exp_trials","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","n_attention_checks","n_audio_checks","var_sex","var_lang","var_age"
"1egzwy4x51zcp0q",0.3,0.333333333333333,0.5,9.48536666666667,0.157583333333333,9.32778333333333,34505.3050001152,0,0,26,"Male","","Canada","","Yes","Yes","None","Yes",1,1,0.266666666666667,0.272727272727273,0.810606060606061
"1ekuuh5x4ez4cvt",0.6,0.833333333333333,0.416666666666667,10.0435833333333,0.58855,9.45503333333333,22730.8450000128,0,0,19,"Male","","Canada","","Yes","Yes","None","No",1,1,0.233333333333333,0.272727272727273,0.446969696969697
"1hgpuk6wq11mcl6",0.5,0.5,0.75,7.7869,0.471416666666667,7.31548333333333,25080,4,0,18,"Female","","Canada","","Yes","Yes","None","No",1,1,0.266666666666667,0.242424242424242,0.628787878787879
"1mafdtj5ewz5xkc",0.6,0.75,0.583333333333333,26.6005833333333,11.5916833333333,15.0089,56910,4,0,19,"Female","female","USA","USA","Yes","Yes","None","Yes",1,2,0.277777777777778,0.265151515151515,0.446969696969697
"1mbns7bt0bwv83o",0.4,0.5,0.5,20.6375,0.146266666666667,20.4912333333333,87820.3149999026,0,0,18,"Male","","Canada","","Yes","Yes","None","Yes",8,2,0.277777777777778,0.242424242424242,0.628787878787879
"1otf6pkg4cefdfx",0.5,0.333333333333333,0.583333333333333,7.90653333333333,0.1951,7.71143333333333,18753.1950000002,9,0,19,"Female","","Canada","","Yes","Yes","None","Yes",3,2,0.266666666666667,0.242424242424242,0.878787878787879
"1pc2usrc9j5to86",0.6,0.5,0.333333333333333,7.62175,0.280616666666667,7.34113333333333,19691,0,0,18,"Female","","Canada","","Yes","Yes","None","Yes",1,2,0.233333333333333,0.151515151515152,0.75
"1ro9zoauau1tsqx",0,0.583333333333333,0.5,12.4140166666667,0.620216666666667,11.7938,57882,1,0,18,"Male","","Canada","","Yes","Yes","Spanish","Yes",2,2,0.277777777777778,0.265151515151515,0.727272727272727
"1uqgcf4gsuaqr8x",0.7,0.0833333333333333,0.416666666666667,19.5820166666667,1.99948333333333,17.5825333333333,44468.1150000542,0,0,21,"Female","","Canada","","Yes","Yes","Spanish","Yes",1,1,0.266666666666667,0.265151515151515,0.454545454545455
"1xkxt0o4jdywnqn",0.6,0.666666666666667,0.5,15.4383333333333,3.14981666666667,12.2885166666667,83255.620000069,0,1,18,"Male","","Canada","","Yes","Yes","None","No",1,1,0.233333333333333,0.272727272727273,0.878787878787879
"1yks8lh7l737qby",0.4,0.75,0.5,11.9401333333333,0.748366666666667,11.1917666666667,20201,20,0,19,"Female","Female","Canada","Canada","Yes","Yes","None","No",1,1,0.277777777777778,0.265151515151515,0.628787878787879
"222xp5vqq417ro0",0.8,0.5,0.333333333333333,8.31346666666667,0.0863,8.22716666666667,23497.5399998948,0,0,34,"Male","","Canada","","Yes","Yes","None","Yes",1,2,0.233333333333333,0.151515151515152,0.545454545454545
