"subject_ID","correct","phase","time_ellapsed_mins","childcare","caregiver","age","gender","gender_text","country","country_text","hearing","eng_first","know_corp_lang","monolingual","stim_ageGroup","button_pressed","stim_gender","stim_language","stim_ID","clipID"
"01x5706uljd0nog",1,"Age",25.0449833333333,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","2","F","Non-English","39Tsimane","0259986922.wav"
"01x5706uljd0nog",0,"Age",25.2634666666667,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","M","English","26Seedlings","0589760242.wav"
"01x5706uljd0nog",0,"Age",25.48705,0,0,21,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","M","English","11Seedlings","0397365922.wav"
"050kw45eslh0o3w",1,"Sex",3.27381666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","M","Non-English","F10CasillasYeli","0677150866.wav"
"050kw45eslh0o3w",0,"Sex",3.72413333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","F","Non-English","11bTsimane","0344255482.wav"
"050kw45eslh0o3w",0,"Sex",3.99311666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","F","Non-English","14Tsimane","0804078336.wav"
"050kw45eslh0o3w",1,"Sex",4.165,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","F","Non-English","34Tsimane","0458074309.wav"
"050kw45eslh0o3w",0,"Sex",4.3925,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","M","Non-English","8787Tseltal","0675181716.wav"
"050kw45eslh0o3w",0,"Sex",4.61451666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","F","Non-English","F23CasillasYeli","0740408284.wav"
"050kw45eslh0o3w",0,"Sex",4.89001666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","M","Non-English","F42CasillasYeli","0741084798.wav"
"050kw45eslh0o3w",1,"Sex",5.18033333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","M","Non-English","7326Tseltal","0858718183.wav"
"050kw45eslh0o3w",1,"Sex",5.51133333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","F","Non-English","33Tsimane","0342400096.wav"
"050kw45eslh0o3w",0,"Sex",5.68413333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","M","Non-English","41Tsimane","0351119080.wav"
"050kw45eslh0o3w",1,"Age",6.04791666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","0","F","English","36Seedlings","0670664846.wav"
"050kw45eslh0o3w",0,"Age",6.27728333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","1","F","Non-English","36Tsimane","0683718388.wav"
"050kw45eslh0o3w",1,"Age",6.4481,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","2","F","Non-English","39Tsimane","0259986922.wav"
"050kw45eslh0o3w",0,"Age",6.63733333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","2","F","Non-English","8179Tseltal","0972726511.wav"
"050kw45eslh0o3w",0,"Age",6.81573333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","1","M","English","9Seedlings","0180969042.wav"
"050kw45eslh0o3w",0,"Age",7.03965,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","1","M","English","26Seedlings","0589760242.wav"
"050kw45eslh0o3w",0,"Age",7.1994,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","M","Non-English","41Tsimane","0353396850.wav"
"050kw45eslh0o3w",0,"Age",7.36048333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","2","M","Non-English","8787Tseltal","0225709263.wav"
"050kw45eslh0o3w",1,"Age",7.55531666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","NA","English","8Seedlings","0428418129.wav"
"050kw45eslh0o3w",1,"Age",7.70865,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","2","F","Non-English","F31CasillasYeli","0471452186.wav"
"050kw45eslh0o3w",0,"Age",7.85963333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","NA","English","4Seedlings","0657024141.wav"
"050kw45eslh0o3w",0,"Age",8.18925,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","0","M","English","11Seedlings","0397365922.wav"
"050kw45eslh0o3w",0,"Language",8.43701666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","1","M","English","11Seedlings","0397365922.wav"
"050kw45eslh0o3w",0,"Language",8.59665,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","0","F","Non-English","39Tsimane","0259986922.wav"
"050kw45eslh0o3w",1,"Language",9.03188333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","1","F","Non-English","F31CasillasYeli","0471452186.wav"
"050kw45eslh0o3w",0,"Language",9.35261666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","0","F","Non-English","36Tsimane","0683718388.wav"
"050kw45eslh0o3w",1,"Language",9.6221,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","0","F","English","36Seedlings","0670664846.wav"
"050kw45eslh0o3w",1,"Language",9.78426666666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","0","NA","English","8Seedlings","0428418129.wav"
"050kw45eslh0o3w",0,"Language",9.93028333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
"050kw45eslh0o3w",0,"Language",10.08365,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","1","M","English","26Seedlings","0589760242.wav"
"050kw45eslh0o3w",1,"Language",10.2591333333333,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","19-36","0","M","English","9Seedlings","0180969042.wav"
"050kw45eslh0o3w",1,"Language",10.46435,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","M","Non-English","8787Tseltal","0225709263.wav"
"050kw45eslh0o3w",1,"Language",10.6985166666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","8-18","1","M","Non-English","41Tsimane","0353396850.wav"
"050kw45eslh0o3w",0,"Language",10.8844166666667,0,0,21,"Male","","Canada","","Yes","Yes","Spanish","Yes","0-7","0","F","Non-English","8179Tseltal","0972726511.wav"
"05yokbmjrv9ndze",0,"Sex",0.895,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","F","Non-English","14Tsimane","0804078336.wav"
"05yokbmjrv9ndze",0,"Sex",1.06283333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","M","Non-English","F10CasillasYeli","0677150866.wav"
"05yokbmjrv9ndze",1,"Sex",1.2381,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","F","Non-English","F23CasillasYeli","0740408284.wav"
"05yokbmjrv9ndze",1,"Sex",1.40215,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","F","Non-English","33Tsimane","0342400096.wav"
"05yokbmjrv9ndze",0,"Sex",1.59386666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","M","Non-English","41Tsimane","0351119080.wav"
"05yokbmjrv9ndze",1,"Sex",1.79195,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","M","Non-English","8787Tseltal","0675181716.wav"
"05yokbmjrv9ndze",1,"Sex",1.95551666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","M","Non-English","7326Tseltal","0858718183.wav"
"05yokbmjrv9ndze",1,"Sex",2.07176666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","F","Non-English","34Tsimane","0458074309.wav"
"05yokbmjrv9ndze",0,"Sex",2.12166666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","M","Non-English","F42CasillasYeli","0741084798.wav"
"05yokbmjrv9ndze",1,"Sex",2.23505,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","F","Non-English","11bTsimane","0344255482.wav"
"05yokbmjrv9ndze",0,"Age",2.38525,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","1","F","Non-English","36Tsimane","0683718388.wav"
"05yokbmjrv9ndze",0,"Age",2.53416666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","NA","English","4Seedlings","0657024141.wav"
"05yokbmjrv9ndze",1,"Age",2.65128333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","0","F","English","36Seedlings","0670664846.wav"
"05yokbmjrv9ndze",1,"Age",2.76566666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","M","Non-English","8787Tseltal","0225709263.wav"
"05yokbmjrv9ndze",0,"Age",2.90008333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","1","F","Non-English","39Tsimane","0259986922.wav"
"05yokbmjrv9ndze",0,"Age",3.01806666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","0","M","English","9Seedlings","0180969042.wav"
"05yokbmjrv9ndze",0,"Age",3.13225,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","1","M","English","11Seedlings","0397365922.wav"
"05yokbmjrv9ndze",0,"Age",3.25516666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","1","F","Non-English","8179Tseltal","0972726511.wav"
"05yokbmjrv9ndze",0,"Age",3.39611666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","M","Non-English","41Tsimane","0353396850.wav"
"05yokbmjrv9ndze",1,"Age",3.53843333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","0","M","English","26Seedlings","0589760242.wav"
"05yokbmjrv9ndze",1,"Age",3.76903333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","2","F","Non-English","F31CasillasYeli","0471452186.wav"
"05yokbmjrv9ndze",1,"Age",3.9266,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","NA","English","8Seedlings","0428418129.wav"
"05yokbmjrv9ndze",1,"Language",4.07686666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","1","F","Non-English","39Tsimane","0259986922.wav"
"05yokbmjrv9ndze",1,"Language",4.22038333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","NA","English","8Seedlings","0428418129.wav"
"05yokbmjrv9ndze",0,"Language",4.36723333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","1","F","English","36Seedlings","0670664846.wav"
"05yokbmjrv9ndze",1,"Language",4.48206666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","0","M","English","11Seedlings","0397365922.wav"
"05yokbmjrv9ndze",0,"Language",4.61888333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","0","F","Non-English","36Tsimane","0683718388.wav"
"05yokbmjrv9ndze",1,"Language",4.79555,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","0","M","English","26Seedlings","0589760242.wav"
"05yokbmjrv9ndze",0,"Language",4.94105,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","0-7","0","F","Non-English","8179Tseltal","0972726511.wav"
"05yokbmjrv9ndze",0,"Language",5.07628333333333,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","1","M","English","9Seedlings","0180969042.wav"
"05yokbmjrv9ndze",1,"Language",5.22336666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","19-36","1","F","Non-English","F31CasillasYeli","0471452186.wav"
"05yokbmjrv9ndze",1,"Language",5.37086666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","NA","English","4Seedlings","0657024141.wav"
"05yokbmjrv9ndze",1,"Language",5.49741666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","1","M","Non-English","41Tsimane","0353396850.wav"
"05yokbmjrv9ndze",0,"Language",5.62226666666667,6,0,21,"Female","","Canada","","Yes","Yes","list()","No","8-18","0","M","Non-English","8787Tseltal","0225709263.wav"
"06j3cmcqm3bje7a",1,"Language",5.06761666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","NA","English","8Seedlings","0428418129.wav"
"06j3cmcqm3bje7a",1,"Language",5.52023333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","F","Non-English","F31CasillasYeli","0471452186.wav"
"06j3cmcqm3bje7a",0,"Language",5.85191666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","36Tsimane","0683718388.wav"
"06j3cmcqm3bje7a",1,"Language",6.41111666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","Non-English","8179Tseltal","0972726511.wav"
"06j3cmcqm3bje7a",1,"Language",6.66521666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","41Tsimane","0353396850.wav"
"06j3cmcqm3bje7a",0,"Language",6.93618333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","8787Tseltal","0225709263.wav"
"06j3cmcqm3bje7a",1,"Language",7.25365,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","M","English","11Seedlings","0397365922.wav"
"06j3cmcqm3bje7a",0,"Language",7.44461666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","M","English","26Seedlings","0589760242.wav"
"06j3cmcqm3bje7a",1,"Language",7.6708,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","M","English","9Seedlings","0180969042.wav"
"06j3cmcqm3bje7a",0,"Language",7.87811666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","English","36Seedlings","0670664846.wav"
"06j3cmcqm3bje7a",0,"Language",8.05378333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
"06j3cmcqm3bje7a",0,"Language",8.25273333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","F","Non-English","39Tsimane","0259986922.wav"
"06j3cmcqm3bje7a",1,"Sex",8.4324,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","41Tsimane","0351119080.wav"
"06j3cmcqm3bje7a",1,"Sex",8.6231,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","F10CasillasYeli","0677150866.wav"
"06j3cmcqm3bje7a",1,"Sex",8.84038333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","14Tsimane","0804078336.wav"
"06j3cmcqm3bje7a",1,"Sex",9.03905,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","11bTsimane","0344255482.wav"
"06j3cmcqm3bje7a",0,"Sex",9.2893,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","F","Non-English","33Tsimane","0342400096.wav"
"06j3cmcqm3bje7a",1,"Sex",9.50921666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","M","Non-English","8787Tseltal","0675181716.wav"
"06j3cmcqm3bje7a",0,"Sex",9.67611666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","F42CasillasYeli","0741084798.wav"
"06j3cmcqm3bje7a",0,"Sex",9.81286666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","F","Non-English","F23CasillasYeli","0740408284.wav"
"06j3cmcqm3bje7a",1,"Sex",10.0068833333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","F","Non-English","34Tsimane","0458074309.wav"
"06j3cmcqm3bje7a",0,"Sex",10.1682,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","7326Tseltal","0858718183.wav"
"06j3cmcqm3bje7a",1,"Age",10.3702,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
"06j3cmcqm3bje7a",1,"Age",10.59145,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","8787Tseltal","0225709263.wav"
"06j3cmcqm3bje7a",0,"Age",10.78095,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","NA","English","8Seedlings","0428418129.wav"
"06j3cmcqm3bje7a",0,"Age",10.9860166666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","M","English","11Seedlings","0397365922.wav"
"06j3cmcqm3bje7a",0,"Age",11.2284833333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","M","English","9Seedlings","0180969042.wav"
"06j3cmcqm3bje7a",0,"Age",11.45345,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","2","M","English","26Seedlings","0589760242.wav"
"06j3cmcqm3bje7a",1,"Age",11.6336333333333,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","2","F","Non-English","39Tsimane","0259986922.wav"
"06j3cmcqm3bje7a",1,"Age",11.8176666666667,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","36Tsimane","0683718388.wav"
"06j3cmcqm3bje7a",1,"Age",12.0549,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","8179Tseltal","0972726511.wav"
"06j3cmcqm3bje7a",1,"Age",12.2464,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","2","F","Non-English","F31CasillasYeli","0471452186.wav"
"06j3cmcqm3bje7a",1,"Age",12.4283,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","41Tsimane","0353396850.wav"
"06j3cmcqm3bje7a",0,"Age",12.6198,36,0,20,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","1","F","English","36Seedlings","0670664846.wav"
"080o97bqlnanxy6",1,"Language",1.91776666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","0","NA","English","8Seedlings","0428418129.wav"
"080o97bqlnanxy6",1,"Language",2.1431,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","41Tsimane","0353396850.wav"
"080o97bqlnanxy6",1,"Language",2.32936666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","M","Non-English","8787Tseltal","0225709263.wav"
"080o97bqlnanxy6",0,"Language",2.49405,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","F","Non-English","F31CasillasYeli","0471452186.wav"
"080o97bqlnanxy6",0,"Language",2.68518333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","36Tsimane","0683718388.wav"
"080o97bqlnanxy6",1,"Language",2.86118333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","M","English","11Seedlings","0397365922.wav"
"080o97bqlnanxy6",0,"Language",3.06658333333333,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","0","F","Non-English","39Tsimane","0259986922.wav"
"080o97bqlnanxy6",0,"Language",3.23115,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","19-36","1","M","English","9Seedlings","0180969042.wav"
"080o97bqlnanxy6",0,"Language",3.41645,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","8-18","1","NA","English","4Seedlings","0657024141.wav"
"080o97bqlnanxy6",1,"Language",3.54001666666667,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","M","English","26Seedlings","0589760242.wav"
"080o97bqlnanxy6",0,"Language",3.72505,0,0,19,"Female","","Canada","","Yes","Yes","list()","Yes","0-7","0","F","Non-English","8179Tseltal","0972726511.wav"
